repo,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
changeweb/Unifiedtransform,118,796,1108,1159,1233,1333,1368,1458,1776,1927
BayesWitnesses/m2cgen,0,14,1105,1190,1220,1257,1281,1385,1526,1653
rpng/open_vins,0,0,0,0,0,112,180,339,530,710
2d-inc/developer_quest,0,0,428,540,1741,1937,2095,2256,2527,2679
NYAN-x-CAT/AsyncRAT-C-Sharp,6,13,29,46,92,166,221,314,483,681
timqian/open-source-jobs,617,654,710,859,902,961,991,1021,1099,1172
xdp-project/xdp-tutorial,9,37,54,76,99,159,214,278,426,671
nickel-lang/nickel,0,0,0,0,0,0,0,0,0,228
microsoft/AttackSurfaceAnalyzer,0,0,25,631,706,827,857,927,1179,1261
frontity/frontity,0,12,63,225,322,401,510,644,1305,1832
4sval/FModel,0,0,5,9,17,25,42,50,113,236
zhulf0804/3D-PointCloud,2,2,3,4,6,14,20,26,34,145
victordibia/handtrack.js,0,528,874,1025,1158,1295,1369,1478,1661,2147
facebookresearch/XLM,318,401,492,632,940,1466,1595,1768,2019,2223
twmb/franz-go,0,0,0,0,0,0,1,1,13,191
ajbrock/BigGAN-PyTorch,0,0,925,1095,1206,1376,1482,1615,1831,2063
tiangolo/uvicorn-gunicorn-fastapi-docker,6,14,34,47,67,94,116,177,435,780
dakshshah96/awesome-startup-credits,1235,1322,1346,1368,1385,1463,1493,1537,1668,1773
mitsuhiko/insta,83,102,113,120,200,260,289,331,427,533
Luolc/AdaBound,1487,1870,2029,2172,2254,2347,2405,2517,2634,2702
alibaba/euler,870,982,1126,1254,1338,1509,1611,1784,2069,2321
simplefoc/Arduino-FOC,0,0,0,0,0,1,1,3,83,331
aylei/interview,1353,1544,1663,1744,1819,1979,2053,2139,2284,2401
SharpAI/DeepCamera,311,375,417,442,456,462,464,468,476,715
pbatard/Fido,0,0,46,68,73,96,107,179,241,341
lorisleiva/laravel-actions,2,3,463,526,549,598,620,659,903,1200
CharlesPikachu/DecryptLogin,8,12,14,16,17,19,20,65,791,1307
SuperMonster003/Ant-Forest,1,53,202,261,345,464,788,976,1358,1874
logamee/lin-cms-vue,84,131,183,281,438,625,745,938,1352,1758
thewhiteh4t/FinalRecon,0,0,88,109,127,194,234,318,517,832
symfony/mime,30,33,48,53,202,536,793,1158,1509,1726
shadowsocks/v2ray-plugin,105,178,344,398,466,650,830,1066,1459,1598
YvetteLau/Blog,91,313,528,641,825,1079,1228,1384,1740,1952
huggingface/knockknock,214,263,309,335,357,791,1078,1307,1642,1934
probe-rs/probe-rs,5,7,10,19,19,19,45,80,254,383
grayddq/GScan,0,0,60,263,331,391,647,695,897,1107
Errichto/youtube,3,6,11,16,30,93,161,338,1043,1475
NarHakobyan/awesome-nest-boilerplate,0,0,8,20,34,77,107,204,386,551
zhpmatrix/nlp-competitions-list-review,52,75,120,339,656,834,939,1050,1291,1536
mc1arke/sonarqube-community-branch-plugin,3,31,55,85,126,178,212,305,498,705
eliemichel/MapsModelsImporter,14,17,18,29,36,63,97,257,736,952
the-akira/Computer-Science-Resources,158,210,341,450,460,533,591,875,1019,1189
rikschennink/shiny,2434,2518,2574,2586,2602,2631,2641,2648,2677,2690
tensorflow/graphics,0,0,0,1,1458,1691,1771,1896,2102,2261
jayden320/flutter_shuqi,243,398,792,949,1082,1286,1380,1556,1802,1964
teal-language/tl,4,8,17,19,19,19,21,43,261,529
NVIDIA/gpu-operator,2,2,3,7,8,14,56,92,192,259
facebook/Ax,1,2,3,601,660,779,866,952,1165,1331
panr/hugo-theme-terminal,17,44,68,78,98,158,201,296,484,688
xiaolai/time-as-a-friend,224,309,377,422,538,669,712,767,906,997
smartHomeHub/SmartIR,42,61,102,138,177,237,262,314,481,630
wcventure/FuzzingPaper,0,0,0,0,0,0,14,143,446,721
taki0112/Tensorflow-Cookbook,1823,2070,2235,2311,2373,2466,2500,2550,2623,2646
laixintao/iredis,0,0,0,0,0,16,44,131,1057,1259
golevelup/nestjs,1,13,24,42,52,68,82,127,267,388
sbmpost/AutoRaise,0,3,3,6,6,9,11,14,33,100
wildfirechat/android-chat,1,4,70,476,608,846,971,1191,1495,1740
TencentCloud/TIMSDK,10,28,95,179,259,425,548,740,1084,1382
pyro-ppl/numpyro,0,6,40,59,136,181,242,366,601,836
wesbos/eslint-config-wesbos,447,594,677,733,803,912,973,1319,1585,1883
SanderMertens/ecs-faq,16,21,42,53,59,74,88,112,163,288
martinvigo/email2phonenumber,0,0,0,0,8,145,168,196,262,357
chartjs/awesome,5,12,32,48,79,145,174,235,403,559
cloud-annotations/cloud-annotations,313,399,463,1762,2014,2122,2252,2314,2410,2455
VainF/DeepLabV3Plus-Pytorch,1,2,2,2,4,10,11,37,157,292
nas5w/100-days-of-code-frontend,59,799,891,972,1015,1102,1208,1485,1694,1964
WireGuard/wireguard-windows,15,26,45,66,93,128,152,196,327,467
weskerfoot/DeleteFB,0,8,9,2240,2292,2349,2389,2440,2485,2558
submariner-io/submariner,691,723,767,842,896,984,1063,1178,1312,1408
js-newbee/taro-yanxuan,0,702,886,1031,1162,1370,1492,1705,2034,2175
cosmicpython/code,0,0,1,2,3,8,13,30,179,365
brave/adblock-rust,0,2,5,141,161,184,198,223,307,471
robscott/kube-capacity,149,169,209,219,232,274,286,309,494,602
SeldonIO/alibi,0,1,146,205,258,310,346,414,599,857
harleyszhang/cv_note,14,24,84,105,344,424,467,564,704,863
biaochenxuying/blog-vue-typescript,42,77,118,199,263,397,500,650,928,1183
switchablenorms/DeepFashion2,77,164,477,540,641,795,866,985,1213,1346
flant/shell-operator,59,105,257,334,375,433,464,517,850,1092
antoinelame/GazeTracking,1,44,63,78,96,137,184,230,429,602
HypoX64/DeepMosaics,2,2,3,3,7,78,95,121,217,368
cashapp/paparazzi,2,2,3,5,6,183,200,211,322,474
loveunk/deep-learning-llm-agent-notes,0,2,13,27,36,64,72,92,136,180
sbousseaden/EVTX-ATTACK-SAMPLES,0,0,157,326,414,481,535,665,857,1181
stephenh/ts-proto,0,0,0,0,0,2,13,30,130,279
microsoft/DirectML,8,16,24,28,40,50,52,60,179,359
NeuronDance/DeepRL,42,64,76,80,91,156,438,706,996,1229
seanbaxter/circle,113,120,125,175,197,216,236,349,586,679
DKJone/DKWechatHelper,96,166,220,246,269,290,301,331,389,499
react-ui-kit/dribbble2react,23,135,301,498,590,1021,1196,1463,1977,2173
MayaPosch/NymphCast,2,2,2,2,2,2,12,28,1154,1291
Weilbyte/PVEDiscordDark,5,5,6,16,21,26,33,48,114,392
yyx990803/build-your-own-mint,1640,1799,1833,1844,1874,1907,1918,1949,2142,2189
Antabot/White-Jotter,2,10,23,33,52,172,264,443,980,1361
Altinity/clickhouse-operator,2,6,10,36,60,106,129,189,287,400
ElegantLaTeX/ElegantBook,10,14,29,72,117,183,235,317,490,672
ashemery/exploitation-course,1,1,1,1,1,1,1,1,109,184
zhihu/griffith,1174,1428,1587,1640,1678,1729,1780,1836,1967,2053
riba2534/TCP-IP-NetworkNote,0,0,3,5,5,17,23,32,58,105
dmlc/decord,0,0,0,31,45,73,81,106,298,462
vuestorefront/storefront-ui,3,3,86,116,557,753,834,965,1228,1428
keithrozario/Klayers,0,2,5,19,23,39,68,140,263,444
filipedeschamps/video-maker,541,776,986,1101,1168,1341,1386,1483,1784,1932
rbatis/rbatis,0,1,2,2,2,3,3,5,151,411
actions/labeler,1,2,2,3,13,100,149,210,368,507
