company_idx,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,2535000.0,2535000.0,2535000.0,2535000.0,2535000.0,2535000.0,2535000.0,2535000.0,2535000.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,2500000.0,3500000.0,10700000.0,10700000.0,10700000.0,10700000.0,15000000.0,41000000.0,41000000.0,41000000.0,43507046.0
3,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,2026250.0,2026250.0,2026250.0,2556250.0,4984750.0,4984750.0,4984750.0,15034750.0,15034750.0,15034750.0
4,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0,1610541.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3452941.0,3452941.0,3452941.0,3452941.0,3452941.0,3452941.0,3452941.0,3452941.0,3452941.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,347354.0,347354.0,347354.0,347354.0,347354.0,347354.0,347354.0,347354.0,347354.0,347354.0,353917.0,353917.0,353917.0,2942769.0,2942769.0,2942769.0,2942769.0,2942769.0
8,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,230000.0,383000.0,383000.0,383000.0,383000.0,383000.0
9,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
10,3400000.0,3400000.0,3400000.0,3920000.0,3920000.0,3920000.0,3920000.0,3920000.0,3920000.0,3920000.0,13920000.0,13920000.0,13920000.0,13920000.0,13920000.0,25920000.0,25920000.0,25920000.0
11,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,961601.0,1011601.0,1011601.0,1011601.0,1011601.0,1011601.0,1011601.0,1011601.0
12,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,800000.0,5000000.0,5000000.0,5000000.0,5000000.0
13,0.0,0.0,0.0,0.0,0.0,0.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0
14,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,1677116.0,3987693.0,3987693.0,3987693.0,3987693.0
15,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,17450000.0,37143865.0
16,657750.0,657750.0,657750.0,657750.0,657750.0,657750.0,657750.0,657750.0,4857750.0,4857750.0,4857750.0,4857750.0,4857750.0,4857750.0,23857750.0,23857750.0,23857750.0,23857750.0
17,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0,1136548.0
18,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0,600000.0
19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,210000.0,210000.0,210000.0,210000.0,210000.0
20,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,2600000.0,10312103.0,10312103.0,10312103.0,10312103.0,10312103.0,10312103.0,10312103.0,10312103.0,10312103.0
21,297265.0,297265.0,297265.0,297265.0,297265.0,297265.0,297265.0,297265.0,297265.0,297265.0,317279.0,317279.0,317279.0,317279.0,317279.0,400988.0,400988.0,400988.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,3400000.0,9148000.0,9148000.0,19148000.0,19148000.0,19148000.0
23,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0
24,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,4500000.0,4500000.0,4500000.0
25,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
26,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,275000.0,14695000.0,14695000.0,18016244.0,63016244.0,63016244.0
27,745500.0,745500.0,745500.0,745500.0,745500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,1045500.0,4045500.0,4045500.0
28,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,9999998.0,12794998.0,12794998.0,13793098.0,13793098.0,13793098.0,13793098.0,13793098.0
29,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0,3200000.0
30,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,9996147.0,22188066.0,22188066.0,33331814.0,33331814.0,33331814.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15470704.0
32,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0
33,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,4617500.0,9548750.0,12024769.0,12024769.0,12024769.0,12024769.0
34,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,250000.0,750184.0,750184.0,750184.0,750184.0,750184.0,750184.0,1245092.0,1245092.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13274403.0,13274403.0,13274403.0,13274403.0,13274403.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,6000000.0,6000000.0,13000000.0,15000000.0,15000000.0,15000000.0
37,500000.0,500000.0,500000.0,4500000.0,4500000.0,4500000.0,4500000.0,4500000.0,14500000.0,14500000.0,14500000.0,14500000.0,30500000.0,30500000.0,30500000.0,72500000.0,72500000.0,72500000.0
38,150000.0,150000.0,150000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,425000.0,925000.0,925000.0,925000.0,925000.0
39,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0,680000.0
40,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,574004.0,2574004.0,2574004.0,2574004.0
41,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0,1067275.0
42,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,10000000.0,10000000.0,10000000.0,10000000.0,93000000.0,93000000.0,93000000.0,93000000.0,93000000.0
