candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
BDD,2013,net,3,5,12,15,21,31,36,48,77,105
Bilby,2013,net,3,7,14,21,26,40,48,65,98,132
Darkwind,2013,net,3,5,8,10,13,20,25,33,57,78
INeverCry,2013,net,2,4,7,10,16,27,35,42,65,93
Jason Quinn,2013,net,2,6,3,8,11,20,27,38,70,109
Legoktm,2013,net,3,8,14,21,29,40,50,70,107,145
Lord Roem,2013,net,3,8,15,23,31,44,55,72,99,124
Mattythewhite,2013,net,2,6,11,17,22,34,40,54,78,96
Miniapolis,2013,net,2,4,9,12,16,16,21,31,44,60
Mkdw,2013,net,2,5,11,16,21,32,38,52,78,103
Nthep,2013,net,2,4,8,12,16,23,28,38,58,78
Ocaasi,2013,net,3,9,15,24,32,47,60,80,122,162
Paulmcdonald,2013,net,2,5,10,15,18,28,35,43,60,80
RockMagnetist,2013,net,2,5,10,15,19,29,35,47,72,93
Secret,2013,net,3,0,3,9,15,25,26,31,50,74
Shirt58,2013,net,2,6,12,17,23,34,43,53,72,98
Tokyogirl79,2013,net,3,7,15,22,30,44,56,74,107,144
West.andrew.g,2013,net,2,6,12,18,24,36,43,54,71,95
Ymblanter,2013,net,2,6,12,19,25,37,46,62,91,122
Banaticus,2013,net,1,3,7,9,9,7,6,5,2,1
Binksternet,2013,net,3,7,9,8,9,8,4,16,30,38
Carrite,2013,net,1,3,3,3,6,9,13,20,33,28
Dirtlawyer1,2013,net,3,7,14,21,27,35,45,59,56,47
Jasper Deng,2013,net,1,3,7,10,12,13,15,14,8,2
KumiokoCleanStart,2013,net,-2,-4,-5,-7,-10,-13,-14,-19,-26,-31
Piotrus,2013,net,-2,-1,-2,-5,-6,-9,-11,-12,-25,-18
Pjoef,2013,net,2,1,-3,-6,-9,-14,-18,-24,-30,-24
Theopolisme,2013,net,0,4,6,10,13,20,27,36,51,53
Vacation9,2013,net,1,0,-1,1,1,0,0,-2,-6,-10
Bagumba,2012,net,2,4,8,13,17,26,32,42,60,78
Basalisk,2012,net,2,4,7,6,6,10,16,23,31,46
Bbb23,2012,net,3,8,16,23,30,46,58,71,99,116
Berean Hunter,2012,net,3,8,16,24,32,48,60,80,120,160
Bgwhite,2012,net,2,6,12,19,25,36,43,56,86,97
Crisco 1492,2012,net,2,6,12,18,23,35,44,57,76,99
De728631,2012,net,1,4,7,11,15,22,27,36,55,73
Dennis Brown,2012,net,3,8,16,19,27,41,50,64,91,106
Dpmuk,2012,net,-1,1,4,7,11,17,23,29,44,61
Ekabhishek,2012,net,2,0,4,8,12,22,28,36,53,66
Fayenatic london,2012,net,1,3,6,7,10,16,20,27,39,51
GiantSnowman,2012,net,2,5,10,15,20,31,38,51,76,101
Harrias,2012,net,3,6,13,19,26,38,47,63,96,126
ItsZippy,2012,net,1,3,7,11,15,23,29,39,52,56
Jenks24,2012,net,2,6,12,18,24,36,43,58,85,115
KTC,2012,net,3,8,15,22,28,43,54,65,84,108
Mark Arsten,2012,net,2,6,12,18,24,37,46,61,92,122
MikeLynch,2012,net,2,6,11,17,23,34,43,57,78,95
Monty845,2012,net,2,5,8,12,15,22,30,38,57,75
Mr. Stradivarius,2012,net,2,6,12,18,25,37,46,62,92,123
SarahStierch,2012,net,4,11,22,33,44,65,81,108,162,216
Scottywong,2012,net,2,3,7,12,17,26,34,45,68,85
Sergecross73,2012,net,2,5,10,15,20,27,33,45,70,94
TommyBoy,2012,net,3,4,7,13,18,27,33,41,61,77
Writ Keeper,2012,net,3,7,14,17,22,36,46,53,80,95
Yngvadottir,2012,net,2,5,8,10,11,16,21,19,37,51
Yunshui,2012,net,2,5,10,15,19,29,36,48,73,97
Zagalejo,2012,net,2,6,12,17,23,34,42,54,78,104
Î£,2012,net,4,11,20,31,40,57,67,88,85,76
Anbu121,2012,net,1,0,2,2,0,0,3,2,-1,-3
Apteva,2012,net,-1,0,-1,-2,-3,-6,-8,-12,-19,-25
AutomaticStrikeout,2012,net,1,3,2,2,2,1,2,0,-4,-7
Avicennasis,2012,net,2,5,11,13,16,25,29,31,32,32
Calabe1992,2012,net,1,4,6,8,12,12,13,16,26,24
Dipankan001,2012,net,0,-1,-3,-2,-1,-3,-5,-6,-8,-14
Faustus37,2012,net,-1,-1,-3,-4,-5,-8,-10,-13,-20,-24
Figureskatingfan,2012,net,1,2,5,9,11,12,10,13,12,2
Floydian,2012,net,1,3,2,4,2,3,6,2,-3,-7
GabeMc,2012,net,-1,-4,-5,-7,-6,-13,-19,-22,-27,-42
Gigs,2012,net,1,4,7,4,6,3,4,7,9,6
Hahc21,2012,net,1,1,1,-1,-1,0,0,-4,-11,-14
History2007,2012,net,1,3,7,10,12,17,20,16,18,10
Ktr101,2012,net,1,3,5,8,10,13,16,22,25,25
Kumioko,2012,net,2,3,4,4,1,-2,-2,-2,-14,-19
Lord Roem,2012,net,2,6,12,17,21,31,40,41,41,44
LuK3,2012,net,1,3,6,9,12,16,16,13,9,6
Mabdul,2012,net,3,7,13,20,25,29,27,33,46,44
Marcus Qwertyus,2012,net,-1,-3,-4,-6,-6,-7,-10,-15,-13,-8
Master&Expert,2012,net,-1,-3,0,-1,-3,-3,-4,-2,-5,-4
Mlpearc,2012,net,2,6,12,18,24,32,39,43,52,52
MONGO,2012,net,0,-1,-3,-3,-4,-6,-9,-11,-18,-27
Mr little irish,2012,net,1,0,-2,-3,-4,-6,-8,-10,-16,-20
My76Strat,2012,net,-1,2,4,3,2,1,-3,-9,-19,-27
Northamerica1000,2012,net,2,6,5,7,2,-5,-9,-10,-9,-17
Penyulap,2012,net,1,1,-1,-2,-4,-6,-8,-11,-18,-21
Pol430,2012,net,-1,-1,3,7,9,15,19,19,18,14
PumpkinSky,2012,net,2,5,8,11,14,22,20,26,27,26
QuiteUnusual,2012,net,3,6,13,19,23,34,42,38,45,49
Rcsprinter123,2012,net,1,0,0,-1,-3,-6,-8,-11,-12,-18
Ryan Vesey,2012,net,4,7,13,19,26,29,37,46,53,70
Sven Manguard,2012,net,1,2,3,5,6,10,12,12,10,10
SwisterTwister,2012,net,2,6,11,15,20,24,24,29,30,33
Theopolisme,2012,net,1,0,-3,-4,-4,1,1,7,10,6
Vibhijain,2012,net,1,2,1,-1,1,0,0,0,-1,-10
28bytes,2011,net,3,6,13,20,26,38,48,64,95,127
5 albert square,2011,net,2,5,10,16,21,31,39,52,78,99
Acdixon,2011,net,2,5,9,14,19,27,33,43,59,77
Anomie,2011,net,3,8,17,25,33,50,62,83,122,161
