candidate,arm,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
"('BDD', '2013')",net,1.0,3.0,4.0,5.0,8.0,12.0,15.0,15.0,21.0,28.0,31.0,36.0,42.0,55.0,65.0,77.0,87.0,105.0
"('Bilby', '2013')",net,1.0,3.0,4.0,7.0,10.0,14.0,17.0,21.0,26.0,33.0,40.0,48.0,59.0,72.0,86.0,98.0,111.0,132.0
"('Darkwind', '2013')",net,1.0,3.0,4.0,5.0,8.0,8.0,10.0,10.0,13.0,20.0,20.0,25.0,30.0,38.0,45.0,57.0,66.0,78.0
"('INeverCry', '2013')",net,1.0,2.0,3.0,4.0,4.0,7.0,10.0,10.0,16.0,22.0,27.0,35.0,40.0,46.0,55.0,65.0,77.0,93.0
"('Jason Quinn', '2013')",net,2.0,2.0,3.0,6.0,5.0,3.0,4.0,8.0,11.0,14.0,20.0,27.0,37.0,41.0,57.0,70.0,84.0,109.0
"('Legoktm', '2013')",net,2.0,3.0,5.0,8.0,12.0,14.0,17.0,21.0,29.0,34.0,40.0,50.0,62.0,77.0,92.0,107.0,122.0,145.0
"('Lord Roem', '2013')",net,2.0,3.0,5.0,8.0,11.0,15.0,19.0,23.0,31.0,36.0,44.0,55.0,67.0,80.0,90.0,99.0,108.0,124.0
"('Mattythewhite', '2013')",net,1.0,2.0,3.0,6.0,8.0,11.0,14.0,17.0,22.0,28.0,34.0,40.0,48.0,60.0,67.0,78.0,88.0,96.0
"('Miniapolis', '2013')",net,1.0,2.0,3.0,4.0,6.0,9.0,11.0,12.0,16.0,17.0,16.0,21.0,27.0,34.0,41.0,44.0,51.0,60.0
"('Mkdw', '2013')",net,1.0,2.0,3.0,5.0,8.0,11.0,13.0,16.0,21.0,27.0,32.0,38.0,46.0,57.0,68.0,78.0,87.0,103.0
"('Nthep', '2013')",net,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,16.0,19.0,23.0,28.0,34.0,43.0,51.0,58.0,66.0,78.0
"('Ocaasi', '2013')",net,2.0,3.0,5.0,9.0,13.0,15.0,19.0,24.0,32.0,39.0,47.0,60.0,71.0,88.0,105.0,122.0,137.0,162.0
"('Paulmcdonald', '2013')",net,1.0,2.0,3.0,5.0,7.0,10.0,12.0,15.0,18.0,23.0,28.0,35.0,41.0,47.0,53.0,60.0,66.0,80.0
"('RockMagnetist', '2013')",net,1.0,2.0,3.0,5.0,8.0,10.0,12.0,15.0,19.0,24.0,29.0,35.0,42.0,52.0,62.0,72.0,80.0,93.0
"('Secret', '2013')",net,2.0,3.0,1.0,0.0,2.0,3.0,7.0,9.0,15.0,20.0,25.0,26.0,29.0,37.0,42.0,50.0,56.0,74.0
"('Shirt58', '2013')",net,1.0,2.0,3.0,6.0,9.0,12.0,14.0,17.0,23.0,28.0,34.0,43.0,49.0,58.0,63.0,72.0,82.0,98.0
"('Tokyogirl79', '2013')",net,1.0,3.0,4.0,7.0,11.0,15.0,18.0,22.0,30.0,37.0,44.0,56.0,67.0,81.0,94.0,107.0,122.0,144.0
"('West.andrew.g', '2013')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,30.0,36.0,43.0,52.0,57.0,62.0,71.0,81.0,95.0
"('Ymblanter', '2013')",net,1.0,2.0,4.0,6.0,9.0,12.0,16.0,19.0,25.0,31.0,37.0,46.0,56.0,68.0,81.0,91.0,103.0,122.0
"('Banaticus', '2013')",net,1.0,1.0,2.0,3.0,5.0,7.0,9.0,9.0,9.0,6.0,7.0,6.0,5.0,5.0,5.0,2.0,6.0,1.0
"('Binksternet', '2013')",net,1.0,3.0,4.0,7.0,9.0,9.0,7.0,8.0,9.0,8.0,8.0,4.0,13.0,21.0,26.0,30.0,30.0,38.0
"('Carrite', '2013')",net,1.0,1.0,1.0,3.0,5.0,3.0,4.0,3.0,6.0,5.0,9.0,13.0,16.0,26.0,34.0,33.0,34.0,28.0
"('Dirtlawyer1', '2013')",net,1.0,3.0,4.0,7.0,10.0,14.0,18.0,21.0,27.0,30.0,35.0,45.0,54.0,56.0,62.0,56.0,53.0,47.0
"('Jasper Deng', '2013')",net,1.0,1.0,2.0,3.0,5.0,7.0,8.0,10.0,12.0,13.0,13.0,15.0,15.0,11.0,5.0,8.0,10.0,2.0
"('KumiokoCleanStart', '2013')",net,-1.0,-2.0,-2.0,-4.0,-5.0,-5.0,-6.0,-7.0,-10.0,-12.0,-13.0,-14.0,-17.0,-21.0,-23.0,-26.0,-29.0,-31.0
"('Piotrus', '2013')",net,-1.0,-2.0,0.0,-1.0,0.0,-2.0,-4.0,-5.0,-6.0,-10.0,-9.0,-11.0,-14.0,-12.0,-18.0,-25.0,-20.0,-18.0
"('Pjoef', '2013')",net,1.0,2.0,2.0,1.0,-1.0,-3.0,-4.0,-6.0,-9.0,-12.0,-14.0,-18.0,-22.0,-25.0,-26.0,-30.0,-27.0,-24.0
"('Theopolisme', '2013')",net,1.0,0.0,2.0,4.0,3.0,6.0,7.0,10.0,13.0,17.0,20.0,27.0,31.0,40.0,42.0,51.0,51.0,53.0
"('Vacation9', '2013')",net,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-4.0,-6.0,-6.0,-7.0,-10.0
"('Bagumba', '2012')",net,1.0,2.0,3.0,4.0,6.0,8.0,11.0,13.0,17.0,21.0,26.0,32.0,38.0,45.0,51.0,60.0,66.0,78.0
"('Basalisk', '2012')",net,1.0,2.0,3.0,4.0,6.0,7.0,6.0,6.0,6.0,10.0,10.0,16.0,21.0,25.0,29.0,31.0,35.0,46.0
"('Bbb23', '2012')",net,2.0,3.0,5.0,8.0,12.0,16.0,19.0,23.0,30.0,38.0,46.0,58.0,66.0,79.0,87.0,99.0,102.0,116.0
"('Berean Hunter', '2012')",net,2.0,3.0,5.0,8.0,12.0,16.0,20.0,24.0,32.0,40.0,48.0,60.0,72.0,88.0,104.0,120.0,136.0,160.0
"('Bgwhite', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,16.0,19.0,25.0,31.0,36.0,43.0,50.0,63.0,73.0,86.0,94.0,97.0
"('Crisco 1492', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,23.0,29.0,35.0,44.0,53.0,63.0,73.0,76.0,83.0,99.0
"('De728631', '2012')",net,1.0,1.0,2.0,4.0,5.0,7.0,9.0,11.0,15.0,18.0,22.0,27.0,33.0,40.0,47.0,55.0,62.0,73.0
"('Dennis Brown', '2012')",net,2.0,3.0,5.0,8.0,12.0,16.0,20.0,19.0,27.0,33.0,41.0,50.0,58.0,72.0,89.0,91.0,96.0,106.0
"('Dpmuk', '2012')",net,-1.0,-1.0,0.0,1.0,3.0,4.0,5.0,7.0,11.0,14.0,17.0,23.0,28.0,32.0,39.0,44.0,51.0,61.0
"('Ekabhishek', '2012')",net,1.0,2.0,1.0,0.0,2.0,4.0,6.0,8.0,12.0,17.0,22.0,28.0,31.0,39.0,45.0,53.0,59.0,66.0
"('Fayenatic london', '2012')",net,1.0,1.0,2.0,3.0,4.0,6.0,7.0,7.0,10.0,13.0,16.0,20.0,24.0,30.0,35.0,39.0,45.0,51.0
"('GiantSnowman', '2012')",net,1.0,2.0,3.0,5.0,8.0,10.0,13.0,15.0,20.0,26.0,31.0,38.0,46.0,56.0,66.0,76.0,87.0,101.0
"('Harrias', '2012')",net,1.0,3.0,4.0,6.0,10.0,13.0,16.0,19.0,26.0,32.0,38.0,47.0,57.0,70.0,83.0,96.0,109.0,126.0
"('ItsZippy', '2012')",net,1.0,1.0,1.0,3.0,5.0,7.0,9.0,11.0,15.0,19.0,23.0,29.0,35.0,44.0,46.0,52.0,55.0,56.0
"('Jenks24', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,30.0,36.0,43.0,52.0,63.0,75.0,85.0,97.0,115.0
"('KTC', '2012')",net,2.0,3.0,4.0,8.0,11.0,15.0,19.0,22.0,28.0,36.0,43.0,54.0,64.0,68.0,74.0,84.0,98.0,108.0
"('Mark Arsten', '2012')",net,1.0,2.0,4.0,6.0,9.0,12.0,15.0,18.0,24.0,30.0,37.0,46.0,55.0,67.0,79.0,92.0,104.0,122.0
"('MikeLynch', '2012')",net,1.0,2.0,3.0,6.0,9.0,11.0,14.0,17.0,23.0,28.0,34.0,43.0,51.0,63.0,68.0,78.0,88.0,95.0
"('Monty845', '2012')",net,1.0,2.0,3.0,5.0,5.0,8.0,10.0,12.0,15.0,20.0,22.0,30.0,35.0,42.0,50.0,57.0,65.0,75.0
